RW00348271, 447, 1.3.2.1
RW00318437, 423, 1.3.2.1
RW00314246, 435, 1.3.2.1
RW00378945, 429, 1.3.2.1
RW00385644, 223, 1.3.2.1
RW00384587, 213, 1.3.2.1
RW00373506, 208, 1.3.2.1
RW00364355, 206, 1.3.2.1
RW00357157, 215, 1.3.2.1
RW00369777, 284, 1.1.1.2.5
RW00336557, 277, 1.1.1.2.5
RW00326003, 277, 1.1.1.2.5
RW00290603, 312, 1.1.1.2.5
RW00367136, 154, 1.1.1.2.5
RW00343232, 159, 1.1.1.2.5
RW00368790, 305, 1.1.1.2.3
RW00380529, 285, 1.1.1.2.3
RW00376253, 303, 1.1.1.2.3
RW00378028, 290, 1.1.1.2.3
RW00368994, 299, 1.1.1.2.3
RW00383465, 280, 1.1.1.2.3
RW0185125, 293, 1.1.1.2.3
RW00373391, 282, 1.1.1.2.3
RW00383734, 297, 1.1.1.2.3
RW00377433, 291, 1.1.1.2.3
RW00375780, 168, 1.1.1.2.3
RW00394381, 174, 1.1.1.2.3
RW00380507, 173, 1.1.1.2.3
RW00377966, 161, 1.1.1.2.3
RW00395880, 368, 1.1.1.3
RW00395154, 369, 1.1.1.3
RW00368810, 374, 1.1.1.3
RW00396202, 17, 1.1.1.3
RW00395030, 358, 1.1.1.4
RW00355386, 354, 1.1.1.4
RW00331495, 357, 1.1.1.4
RW00339216, 344, 1.1.1.4
RW00375769, 348, 1.1.1.4
RW00319706, 344, 1.1.1.4
RW00366204, 352, 1.1.1.4
RW00369059, 343, 1.1.1.4
RW00386426, 359, 1.1.1.4
RW00303039, 351, 1.1.1.4
RW00369199, 344, 1.1.1.4
RW00375240, 344, 1.1.1.4
RW00355262, 349, 1.1.1.4
RW00332536, 354, 1.1.1.4
RW00380056, 362, 1.1.1.4
RW00356636, 358, 1.1.1.4
RW00360790, 357, 1.1.1.4
RW00384325, 171, 1.1.1.4
RW00348758, 174, 1.1.1.4
RW00381973, 179, 1.1.1.4
RW00395358, 254, 1.1.1.2.1
281919, 255, 1.1.1.2.1
RW00294701, 259, 1.1.1.2.1
RW0242074, 264, 1.1.1.2.1
RW00257167, 259, 1.1.1.2.1
RW00377895, 259, 1.1.1.2.1
